number of cutters,minimum number of suitable cutters,runs,time,mean discounted reward,lower discounted reward,upper discounted reward,mean num actions,lower num actions,upper num actions,cut %
9,9,500,1000,8.9564,8.937659122222545,8.975140877777456,1.04,1.022806534149124,1.0571934658508761,1.0
9,9,500,3000,8.954220000000001,8.93503632907863,8.973403670921373,1.042,1.0244003019069978,1.0595996980930023,1.0
9,9,500,5000,8.9498818,8.92897123827155,8.97079236172845,1.046,1.0268003624903688,1.0651996375096313,1.0
9,7,500,1000,6.8731041799999995,6.357482040533023,7.388726319466976,1.192,1.1501841619716358,1.2338158380283641,0.904
9,7,500,3000,6.77467238,6.245048235845317,7.304296524154683,1.172,1.1357796200375525,1.2082203799624474,0.898
9,7,500,5000,7.0008335399999995,6.504674565897739,7.49699251410226,1.222,1.1782427842298047,1.2657572157701953,0.912
9,5,500,1000,4.43044568,3.727579969698348,5.133311390301652,1.406,1.3493302587433091,1.4626697412566907,0.798
9,5,500,3000,4.2711175599999995,3.5668583133304366,4.975376806669563,1.51,1.4430698194110372,1.5769301805889628,0.796
9,5,500,5000,4.11017792,3.392274850426264,4.828080989573736,1.478,1.4136729676332362,1.5423270323667637,0.788
9,3,500,1000,-0.33256431799999997,-1.1703680623333037,0.5052394263333039,2.438,2.2976665084895904,2.57833349151041,0.648
9,3,500,3000,0.4705009,-0.3429142411222931,1.2839160411222932,2.49,2.34524489089736,2.6347551091026404,0.694
9,3,500,5000,0.0259998040000001,-0.7910256785199984,0.8430252865199986,2.458,2.312017978157142,2.6039820218428584,0.668
9,1,500,1000,-26.719463144000002,-28.515998071915437,-24.922928216084568,16.568,15.331091443303563,17.80490855669644,0.488
9,1,500,3000,-26.903957792,-28.52638495410454,-25.28153062989546,15.994,15.032047561084964,16.955952438915034,0.464
9,1,500,5000,-29.202283153999996,-30.914801878999555,-27.489764429000438,17.568,16.398186793756008,18.737813206243995,0.44
